,LenBinStart,RateAOverlapByB,RateBOverlapByA,MaxGap,MinMarkers
0,3,0.99904543,0.97938186,1000,100
1,4,0.9993078,0.9875109,1000,100
2,6,0.9995678,0.99325025,1000,100
3,10,0.9997161,0.9957753,1000,100
4,18,0.9998857,0.99837595,1000,100
5,genome_wide,0.9970248,0.88728136,1000,100
0,3,0.99904543,0.9793841,300,100
1,4,0.9993078,0.9875109,300,100
2,6,0.9995678,0.9932505,300,100
3,10,0.9997161,0.9957753,300,100
4,18,0.9998857,0.99837595,300,100
5,genome_wide,0.9970248,0.88728136,300,100
0,3,0.99904543,0.9793841,3,3
1,4,0.9993078,0.9875109,3,3
2,6,0.9995678,0.9932505,3,3
3,10,0.9997161,0.9957753,3,3
4,18,0.9998857,0.99837595,3,3
5,genome_wide,0.9970248,0.88728136,3,3
0,3,0.99904543,0.9793841,100,100
1,4,0.9993078,0.9875109,100,100
2,6,0.9995678,0.9932505,100,100
3,10,0.9997161,0.9957753,100,100
4,18,0.9998857,0.99837595,100,100
5,genome_wide,0.9970248,0.88728136,100,100
0,3,0.99904543,0.9793841,3,10
1,4,0.9993078,0.9875109,3,10
2,6,0.9995678,0.9932505,3,10
3,10,0.9997161,0.9957753,3,10
4,18,0.9998857,0.99837595,3,10
5,genome_wide,0.9970248,0.88728136,3,10
0,3,0.99904543,0.9793841,30,100
1,4,0.9993078,0.9875109,30,100
2,6,0.9995678,0.9932505,30,100
3,10,0.9997161,0.9957753,30,100
4,18,0.9998857,0.99837595,30,100
5,genome_wide,0.9970248,0.88728136,30,100
0,3,0.99904543,0.9793841,3,30
1,4,0.9993078,0.9875109,3,30
2,6,0.9995678,0.9932505,3,30
3,10,0.9997161,0.9957753,3,30
4,18,0.9998857,0.99837595,3,30
5,genome_wide,0.9970248,0.88728136,3,30
0,3,0.99904543,0.9793841,100,10
1,4,0.9993078,0.9875109,100,10
2,6,0.9995678,0.9932505,100,10
3,10,0.9997161,0.9957753,100,10
4,18,0.9998857,0.99837595,100,10
5,genome_wide,0.9970248,0.88728136,100,10
0,3,0.99904543,0.9793841,3,100
1,4,0.9993078,0.9875109,3,100
2,6,0.9995678,0.9932505,3,100
3,10,0.9997161,0.9957753,3,100
4,18,0.9998857,0.99837595,3,100
5,genome_wide,0.9970248,0.88728136,3,100
0,3,0.99904543,0.9793841,30,30
1,4,0.9993078,0.9875109,30,30
2,6,0.9995678,0.9932505,30,30
3,10,0.9997161,0.9957753,30,30
4,18,0.9998857,0.99837595,30,30
5,genome_wide,0.9970248,0.88728136,30,30
0,3,0.99904543,0.97938186,1000,3
1,4,0.9993078,0.9875109,1000,3
2,6,0.9995678,0.99325025,1000,3
3,10,0.9997161,0.9957753,1000,3
4,18,0.9998857,0.99837595,1000,3
5,genome_wide,0.9970248,0.88728136,1000,3
0,3,0.99904543,0.9793841,100,30
1,4,0.9993078,0.9875109,100,30
2,6,0.9995678,0.9932505,100,30
3,10,0.9997161,0.9957753,100,30
4,18,0.9998857,0.99837595,100,30
5,genome_wide,0.9970248,0.88728136,100,30
0,3,0.99904543,0.9793841,300,3
1,4,0.9993078,0.9875109,300,3
2,6,0.9995678,0.9932505,300,3
3,10,0.9997161,0.9957753,300,3
4,18,0.9998857,0.99837595,300,3
5,genome_wide,0.9970248,0.88728136,300,3
0,3,0.99904543,0.9793841,30,10
1,4,0.9993078,0.9875109,30,10
2,6,0.9995678,0.9932505,30,10
3,10,0.9997161,0.9957753,30,10
4,18,0.9998857,0.99837595,30,10
5,genome_wide,0.9970248,0.88728136,30,10
0,3,0.99904543,0.9793841,300,10
1,4,0.9993078,0.9875109,300,10
2,6,0.9995678,0.9932505,300,10
3,10,0.9997161,0.9957753,300,10
4,18,0.9998857,0.99837595,300,10
5,genome_wide,0.9970248,0.88728136,300,10
0,3,0.99904543,0.9793841,30,3
1,4,0.9993078,0.9875109,30,3
2,6,0.9995678,0.9932505,30,3
3,10,0.9997161,0.9957753,30,3
4,18,0.9998857,0.99837595,30,3
5,genome_wide,0.9970248,0.88728136,30,3
0,3,0.99904543,0.97938186,1000,10
1,4,0.9993078,0.9875109,1000,10
2,6,0.9995678,0.99325025,1000,10
3,10,0.9997161,0.9957753,1000,10
4,18,0.9998857,0.99837595,1000,10
5,genome_wide,0.9970248,0.88728136,1000,10
0,3,0.99904543,0.9793841,300,30
1,4,0.9993078,0.9875109,300,30
2,6,0.9995678,0.9932505,300,30
3,10,0.9997161,0.9957753,300,30
4,18,0.9998857,0.99837595,300,30
5,genome_wide,0.9970248,0.88728136,300,30
0,3,0.99904543,0.9793841,100,3
1,4,0.9993078,0.9875109,100,3
2,6,0.9995678,0.9932505,100,3
3,10,0.9997161,0.9957753,100,3
4,18,0.9998857,0.99837595,100,3
5,genome_wide,0.9970248,0.88728136,100,3
0,3,0.99904543,0.97938186,1000,30
1,4,0.9993078,0.9875109,1000,30
2,6,0.9995678,0.99325025,1000,30
3,10,0.9997161,0.9957753,1000,30
4,18,0.9998857,0.99837595,1000,30
5,genome_wide,0.9970248,0.88728136,1000,30
