,LenBinStart,RateAOverlapByB,RateBOverlapByA,N,M
0,3,0.9717441,0.68832433,10,2
1,4,0.9797765,0.90559703,10,2
2,6,0.98681927,0.96620685,10,2
3,10,0.9921837,0.9843677,10,2
4,18,0.99583155,0.9928233,10,2
5,genome_wide,0.8877112,0.37659732,10,2
0,3,0.9711652,0.69400483,30,5
1,4,0.97930634,0.91802204,30,5
2,6,0.98641115,0.9680925,30,5
3,10,0.9920292,0.985109,30,5
4,18,0.99583155,0.9928233,30,5
5,genome_wide,0.88916963,0.3318488,30,5
0,3,0.9646966,0.84284514,9999999,10
1,4,0.97683114,0.9403812,9999999,10
2,6,0.985903,0.96973675,9999999,10
3,10,0.9920124,0.98513615,9999999,10
4,18,0.99583155,0.9928233,9999999,10
5,genome_wide,0.8403115,0.49875128,9999999,10
0,3,0.9711652,0.6914027,30,10
1,4,0.9792939,0.9180347,30,10
2,6,0.98641115,0.9680925,30,10
3,10,0.9920124,0.98513615,30,10
4,18,0.99583155,0.9928233,30,10
5,genome_wide,0.8892321,0.32527465,30,10
0,3,0.9717085,0.67778003,10,10
1,4,0.97974235,0.9065697,10,10
2,6,0.98676056,0.9664336,10,10
3,10,0.9921837,0.9844222,10,10
4,18,0.99583155,0.9928233,10,10
5,genome_wide,0.8899864,0.34847802,10,10
0,3,0.9717085,0.6781106,10,5
1,4,0.97974235,0.9065697,10,5
2,6,0.98676056,0.9664336,10,5
3,10,0.9921837,0.9844222,10,5
4,18,0.99583155,0.9928233,10,5
5,genome_wide,0.88985443,0.34954566,10,5
0,3,0.97174025,0.6890101,30,2
1,4,0.9797678,0.90591,30,2
2,6,0.9867803,0.96633327,30,2
3,10,0.9921837,0.9843677,30,2
4,18,0.99583155,0.9928233,30,2
5,genome_wide,0.8877359,0.3766672,30,2
0,3,0.97174025,0.6890101,300,2
1,4,0.9797678,0.90591,300,2
2,6,0.9867803,0.96633327,300,2
3,10,0.9921837,0.9843677,300,2
4,18,0.99583155,0.9928233,300,2
5,genome_wide,0.8877359,0.3766672,300,2
0,3,0.9648696,0.8405855,300,10
1,4,0.97683114,0.9403812,300,10
2,6,0.985903,0.96973675,300,10
3,10,0.9920124,0.98513615,300,10
4,18,0.99583155,0.9928233,300,10
5,genome_wide,0.84584314,0.47536814,300,10
0,3,0.97174025,0.6890101,9999999,2
1,4,0.9797678,0.90591,9999999,2
2,6,0.9867803,0.96633327,9999999,2
3,10,0.9921837,0.9843677,9999999,2
4,18,0.99583155,0.9928233,9999999,2
5,genome_wide,0.8877359,0.3766672,9999999,2
0,3,0.96937406,0.7540481,100,5
1,4,0.97840196,0.93029565,100,5
2,6,0.98629403,0.9685813,100,5
3,10,0.9920292,0.985109,100,5
4,18,0.99583155,0.9928233,100,5
5,genome_wide,0.87586135,0.36254612,100,5
0,3,0.9684836,0.78008866,9999999,5
1,4,0.9781804,0.931633,9999999,5
2,6,0.98629403,0.9685813,9999999,5
3,10,0.9920292,0.985109,9999999,5
4,18,0.99583155,0.9928233,9999999,5
5,genome_wide,0.86432797,0.40759325,9999999,5
0,3,0.97174025,0.6890101,100,2
1,4,0.9797678,0.90591,100,2
2,6,0.9867803,0.96633327,100,2
3,10,0.9921837,0.9843677,100,2
4,18,0.99583155,0.9928233,100,2
5,genome_wide,0.8877359,0.3766672,100,2
0,3,0.9690129,0.75334275,100,10
1,4,0.9780422,0.93197644,100,10
2,6,0.98607624,0.9688843,100,10
3,10,0.9920124,0.98513615,100,10
4,18,0.99583155,0.9928233,100,10
5,genome_wide,0.87583315,0.35107544,100,10
0,3,0.9684836,0.78008866,300,5
1,4,0.9781804,0.931633,300,5
2,6,0.98629403,0.9685813,300,5
3,10,0.9920292,0.985109,300,5
4,18,0.99583155,0.9928233,300,5
5,genome_wide,0.86432797,0.4075729,300,5
