,LenBinStart,RateAOverlapByB,RateBOverlapByA,Set,Lm
0,3,0.0023506526,,template0_mac20,250
1,4,0.005568748,,template0_mac20,250
2,6,0.1619231,0.88955355,template0_mac20,250
3,10,0.98599124,0.90122896,template0_mac20,250
4,18,0.9995677,0.9495743,template0_mac20,250
5,genome_wide,0.16941486,0.9154883,template0_mac20,250
0,3,0.47993192,0.77871215,template1_mac20,100
1,4,0.97090095,0.82214206,template1_mac20,100
2,6,0.9986167,0.8895427,template1_mac20,100
3,10,0.99902916,0.9291655,template1_mac20,100
4,18,0.99939567,0.9631628,template1_mac20,100
5,genome_wide,0.59083754,0.8684789,template1_mac20,100
0,3,0.99843013,0.13709705,template1_mac0,30
1,4,0.9990058,0.2634671,template1_mac0,30
2,6,0.9991934,0.5165676,template1_mac0,30
3,10,0.9993566,0.82306916,template1_mac0,30
4,18,0.9995547,0.94563395,template1_mac0,30
5,genome_wide,0.9992693,0.23264997,template1_mac0,30
