,LenBinStart,RateAOverlapByB,RateBOverlapByA,Set,Lm
5,genome_wide,0.54764235,0.7585716,template1_mac0,250
0,3,0.9998021,0.00025373898,template1_mac0,30
1,4,0.99980605,0.00053682126,template1_mac0,30
2,6,0.99981964,0.0010657391,template1_mac0,30
3,10,0.9998492,0.0023718143,template1_mac0,30
4,18,0.99981916,0.015128754,template1_mac0,30
5,genome_wide,0.9998101,0.0008382213,template1_mac0,30
0,3,0.00077425066,,template0_mac20,300
1,4,0.0021318188,,template0_mac20,300
2,6,0.069084704,0.8971508,template0_mac20,300
3,10,0.94614583,0.9100586,template0_mac20,300
4,18,0.9994623,0.9524077,template0_mac20,300
5,genome_wide,0.04215214,0.9225458,template0_mac20,300
0,3,0.9997477,0.0011416477,template1_mac0,50
1,4,0.99975765,0.0024155173,template1_mac0,50
2,6,0.99980354,0.0062954375,template1_mac0,50
3,10,0.9998382,0.036095046,template1_mac0,50
4,18,0.99982107,0.7426321,template1_mac0,50
5,genome_wide,0.99974245,0.0021261503,template1_mac0,50
